Instance types | Instance count | Hour basis		    | Minute basis | With Google 10-minute minimum charge | with Azure 5-minute free
small 	       | 165 	  	| 619 hrs (37,140 mins)     | 29,622 mins  | 29,875 mins 	   	   	  | 29,582 mins
medium 	       | 6 		| 268 hrs (16,080 mins)     | 15,891 mins  | 15,891 mins 			  | 15,891 mins
large 	       | 490 		| 10,831 hrs (649,860 mins) | 629,969 mins | 631,047 mins 			  | 629,667 mins
Total 	       | 661 		| 11,718 hrs (703,080 mins) | 675,482 mins | 676,813 mins 			  | 675,140 mins
